Akr1b1	
Akr1b1	1.088042849
Aldo3	1.125058485
Aldo3	0.852634892
Aldoart2	1.0416677
Aldoart2	0.962053803
Aldoart2	0.886866902
Aldoart2	0.955165848
Aldoart2	1.049716684
Gmds	0.486327474
Gmds	1.189207115
Gmds	1.765405993
Hk2	1.079228237
Hk2	0.895025071
Hk2	1.337927555
Hk2	
Pfka	0.960093825
Pfka	0.89818955
Pfkfb1	
Pfkfb1	
Pfkfb1	
Pfkfb1	
Pfkfb1	0.993092495
Pfkfb1	0.858565436
Pfkfb2	6.498019171
Pfkfb2	5.625802915
Pfkfb2	5.464161027
Pfkfb2	5.067755454
Pfkfb2	8.400251121
Pfkfb3	1.630992013
Pfkfb3	0.744585831
Pfkfb3	25.12320181
Pfkfb3	2.602683711
Pfkfb3	4.516135769
Pfkl	0.96469081
Pfkp	0.687443679
Php14	1.337927555
Sdh1	0.93933982
Tpi	1.198888545
Tpi	0.897612028
Tpi	0.97609292
Tpi	0.900080267
Tpi	
Tpi	1.337927555
Tpi	1.123800398
